Number,Code,Unit,Goods,Normal Tariff,Preferential Tarrif,Unnamed: 6
S 2710.91.00,,,"Containing polychlorinated biphenyls (PCBs), polychlorinated",,,
,,,terphenyls (PCTs) or polybrominated biphenyls (PBBs),Free,Free,
,01K,l,Containing polychlorinated biphenyls (PCBs) at a concentration level,,,
,,,of 50 mg/kg or more,,,
,09E,l,"Other, containing polychlorinated terphenyls (PCTs) or polybrominated",,,
,,,"biphenyls (PBBs), whether or not also containing polychlorinated",,,
,,,biphenyls (PCBs) at a concentration level of less than 50 mg/kg,,,
2710.99.00,00H,l,Other,Free,Free,
27.11,,,Petroleum gases and other gaseous hydrocarbons:,,,
,,,Liquefied:,,,
2711.11.00,00L,l,Natural gas,Free,Free,
2711.12.00,00E,l,Propane per l,10.40¢1,.,
2711.13.00,,,Butanes per l,10.40¢1,.,
,01H,l,Isobutane,,,
,09C,l,n-Butane,,,
2711.14,,,"Ethylene, propylene, butylene and butadiene:",,,
2711.14.01,00L,l,Propylene and butylene per l,10.40¢1,.,
2711.14.09,00A,l,Other,Free,Free,
2711.19.00,00G,.,Other,Free,Free,
,,,In gaseous state:,,,
2711.21.00,00D,GJ,Natural gas per gigajoule,$3.17 ,.,
2711.29.00,00L,.,Other,Free,Free,
27.12,,,"Petroleum jelly; paraffin wax, micro-crystalline petroleum wax, slack",,,
,,,"wax, ozokerite, lignite wax, peat wax, other mineral waxes, and",,,
,,,"similar products obtained by synthesis or by other processes, whether",,,
,,,or not coloured:,,,
2712.10.00,00D,kg,Petroleum jelly,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC 4,
2712.20.00,00H,kg,Paraffin wax containing by weight less than 0.75 % of oil,Free,Free,
2712.90.00,,,Other,Free,Free,
,01A,kg,Paraffin wax containing by weight 0.75 % or more of oil,,,
,09G,kg,Other,,,
27.13,,,"Petroleum coke, petroleum bitumen and other residues of petroleum",,,
,,,oils or of oils obtained from bituminous minerals:,,,
,,,Petroleum coke:,,,
2713.11.00,00G,kg,Not calcined,Free,Free,
2713.12.00,10J,tne,Calcined,Free,Free,
2713.20.00,00F,kg,Petroleum bitumen,Free,Free,
2713.90.00,00A,kg,Other residues of petroleum oils or of oils obtained from bituminous,,,
,,,minerals,Free,Free,
27.14,,,"Bitumen and asphalt, natural; bituminous or oil shale and tar sands;",,,
,,,asphaltites and asphaltic rocks:,,,
2714.10.00,00L,kg,Bituminous or oil shale and tar sands,Free,Free,
2714.90.00,00K,kg,Other,Free,Free,
27.15,,,,,,
2715,,,"Bituminous mixtures based on natural asphalt, on natural bitumen,",,,
,,,"on petroleum bitumen, on mineral tar or on mineral tar pitch (for",,,
,,,"example, bituminous mastics, cut-backs):",,,
2715.00.01,00A,kg,"Mastic preparations, including mastics incorporating mineral substances",,,
,,,such as sand or asbestos,Free,Free,
,,,"Bituminous mixtures based on natural asphalt, on, etc.€”continued",,,
,,,Road surfacing preparations:,,,
2715.00.11,00G,kg,"Cut-backs, being mixtures of bitumen and oil",Free,Free,
2715.00.19,00H,kg,Other,Free,Free,
2715.00.29,00C,kg,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
,,,I.-CHEMICAL ELEMENTS,,,
28.01,,,"Fluorine, chlorine, bromine and iodine:",,,
2801.10.00,00E,kg,Chlorine,Free,Free,
2801.20.00,00J,kg,Iodine,Free,Free,
2801.30.00,00B,kg,Fluorine; bromine,Free,Free,
28.02,,,,,,
2802.00.00,00K,kg,"Sulphur, sublimed or precipitated; colloidal sulphur",Free,Free,
28.03,,,,,,
2803.00.00,00H,kg,Carbon (carbon blacks and other forms of carbon not elsewhere,,,
,,,specified or included),Free,Free,
28.04,,,"Hydrogen, rare gases and other non-metals:",,,
2804.10.00,00K,kg,Hydrogen,Free,Free,
,,,Rare gases:,,,
2804.21.00,00H,kg,Argon,Free,Free,
2804.29.00,00D,kg,Other,Free,Free,
2804.30.00,00G,kg,Nitrogen,Free,Free,
2804.40.00,00L,kg,Oxygen,Free,Free,
2804.50.00,00D,kg,Boron; tellurium,Free,Free,
,,,Silicon:,,,
2804.61.00,00B,kg,Containing by weight not less than 99.99% of silicon,Free,Free,
2804.69.00,00J,kg,Other,Free,Free,
2804.70.00,,,Phosphorus,Free,Free,
,01K,kg,Red,,,
,03F,.,Other,,,
2804.80.00,00E,kg,Arsenic,Free,Free,
2804.90.00,00J,kg,Selenium,Free,Free,
28.05,,,"Alkali or alkaline-earth metals; rare-earth metals, scandium and",,,
,,,"yttrium, whether or not intermixed or interalloyed; mercury:",,,
,,,Alkali or alkaline-earth metals:,,,
2805.11.00,00B,.,Sodium,Free,Free,
2805.12.00,00G,.,Calcium,Free,Free,
2805.19.00,,,Other,Free,Free,
,11D,.,Strontium and barium,,,
,19K,.,Other,,,
2805.30.00,00E,.,"Rare-earth metals, scandium and yttrium, whether or not",,,
,,,intermixed or interalloyed,Free,Free,
2805.40.00,00J,.,Mercury,Free,Free,
,,,II.-INORGANIC ACIDS AND INORGANIC OXYGEN,,,
,,,COMPOUNDS OF NON-METALS,,,
28.06,,,Hydrogen chloride (hydrochloric acid); chlorosulphuric acid:,,,
2806.10.00,10C,kg,Hydrogen chloride (hydrochloric acid),Free,Free,
2806.20.00,00K,kg,Chlorosulphuric acid,Free,Free,
28.07,,,,,,
2807.00.00,00L,kg,Sulphuric acid; oleum,Free,Free,
28.08,,,,,,
2808.00.00,00J,kg,Nitric acid; sulphonitric acids,Free,Free,
28.09,,,"Diphosphorus pentaoxide; phosphoric acid; polyphosphoric acids,",,,
,,,whether or not chemically defined:,,,
2809.10.00,00L,kg,Diphosphorus pentaoxide,Free,Free,
2809.20.00,00D,kg,Phosphoric acid and polyphosphoric acids,Free,Free,
28.1,,,,,,
2810.00.00,00L,kg,Oxides of boron; boric acids,Free,Free,
28.11,,,Other inorganic acids and other inorganic oxygen compounds of,,,
,,,non-metals:,,,
,,,Other inorganic acids:,,,
2811.11.00,00G,kg,Hydrogen fluoride (hydrofluoric acid),Free,Free,
2811.12.00,10J,kg,Hydrogen cyanide (hydrocyanic acid),Free,Free,
2811.19.00,,,Other,Free,Free,
,01A,kg,Acids of arsenic,,,
,03H,kg,Acids of iodine,,,
,05D,kg,Acids of phosphorous,,,
,19D,kg,Other,,,
,,,Other inorganic oxygen compounds of non-metals:,,,
2811.21.00,00L,kg,Carbon dioxide,Free,Free,
2811.22.00,00E,kg,Silicon dioxide,Free,Free,
2811.29.00,,,Other,Free,Free,
,01E,kg,"Arsenic trioxide, arsenic pentaoxide",,,
,11B,kg,Nitrous oxide,,,
,15E,kg,Sulphur dioxide,,,
,19H,kg,Other,,,
,,,III.-HALOGEN OR SULPHUR COMPOUNDS OF NON-METALS,,,
28.12,,,Halides and halide oxides of non-metals:,,,
,,,Chlorides and chloride oxides:,,,
2812.11.00,10B,kg,Carbonyl dichloride (phosgene),Free,Free,
2812.12.00,10G,kg,Phosphorus oxychloride,Free,Free,
2812.13.00,10A,kg,Phosphorus trichloride,Free,Free,
2812.14.00,10F,kg,Phosphorus pentachloride,Free,Free,
2812.15.00,10L,kg,Sulphur monochloride,Free,Free,
2812.16.00,10E,kg,Sulphur dichloride,Free,Free,
2812.17.00,10K,kg,Thionyl chloride,Free,Free,
2812.19.00,,,Other,Free,Free,
,10J,kg,Arsenic trichloride,,,
,19B,kg,Other,,,
2812.90.00,00K,kg,Other,Free,Free,
28.13,,,Sulphides of non-metals; commercial phosphorus trisulphide:,,,
2813.10.00,00J,kg,Carbon disulphide,Free,Free,
2813.90.00,00H,kg,Other,Free,Free,
,,,"IV.-INORGANIC BASES AND OXIDES, HYDROXIDES AND",,,
,,,PEROXIDES OF METALS,,,
28.14,,,"Ammonia, anhydrous or in aqueous solution:",,,
2814.10.00,00G,kg,Anhydrous ammonia,Free,Free,
2814.20.00,00L,kg,Ammonia in aqueous solution,Free,Free,
28.15,,,Sodium hydroxide (caustic soda); potassium hydroxide (caustic,,,
,,,potash); peroxides of sodium or potassium:,,,
,,,Sodium hydroxide (caustic soda):,,,
2815.11.00,00K,kg,Solid,Free,Free,
2815.12.00,00D,kg,In aqueous solution (soda lye or liquid soda),Free,Free,
2815.20.00,00J,kg,Potassium hydroxide (caustic potash),Free,Free,
2815.30.00,00B,kg,Peroxides of sodium or potassium,Free,Free,
28.16,,,"Hydroxide and peroxide of magnesium; oxides, hydroxides and",,,
,,,"peroxides, of strontium or barium:",,,
2816.10.00,00C,kg,Hydroxide and peroxide of magnesium,Free,Free,
2816.40.00,,,"Oxides, hydroxides and peroxides, of strontium or barium",Free,Free,
,11K,kg,Of strontium,,,
,19E,kg,Of barium,,,
28.17,,,,,,
2817.00.00,,,Zinc oxide; zinc peroxide,Free,Free,
,01F,kg,Zinc oxide,,,
,09A,kg,Zinc peroxide,,,
28.18,,,"Artificial corundum, whether or not chemically defined; aluminium",,,
,,,oxide; aluminium hydroxide:,,,
2818.10.00,00K,kg,"Artificial corundum, whether or not chemically defined",Free,Free,
2818.20.00,00C,tne,"Aluminium oxide, other than artificial corundum",Free,Free,
2818.30.00,00G,tne,Aluminium hydroxide,Free,Free,
28.19,,,Chromium oxides and hydroxides:,,,
2819.10.00,00H,kg,Chromium trioxide,Free,Free,
2819.90.00,00G,kg,Other,Free,Free,
28.2,,,Manganese oxides:,,,
2820.10.00,00A,kg,Manganese dioxide,Free,Free,
2820.90.00,00L,kg,Other,Free,Free,
28.21,,,Iron oxides and hydroxides; earth colours containing 70 % or more,,,
,,,by weight of combined iron evaluated as Fe2O3:,,,
2821.10.00,00K,kg,Iron oxides and hydroxides,Free,Free,
2821.20.00,00C,kg,Earth colours,Free,Free,
28.22,,,,,,
2822.00.00,00D,kg,Cobalt oxides and hydroxides; commercial cobalt oxides,Free,Free,
28.23,,,,,,
2823.00.00,00B,kg,Titanium oxides,Free,Free,
28.24,,,Lead oxides; red lead and orange lead:,,,
2824.10.00,00D,kg,"Lead monoxide (litharge, massicot)",Free,Free,
2824.90.00,,,Other,Free,Free,
,10L,kg,Red lead and orange lead,,,
,15A,kg,Other,,,
28.25,,,Hydrazine and hydroxylamine and their inorganic salts; other,,,
,,,"inorganic bases; other metal oxides, hydroxides and peroxides:",,,
2825.10.00,00B,kg,Hydrazine and hydroxylamine and their inorganic salts,Free,Free,
2825.20.00,00F,kg,Lithium oxide and hydroxide,Free,Free,
2825.30.00,00K,kg,Vanadium oxides and hydroxides,Free,Free,
2825.40.00,00C,kg,Nickel oxides and hydroxides,Free,Free,
2825.50.00,00G,kg,Copper oxides and hydroxides,Free,Free,
2825.60.00,00L,kg,Germanium oxides and zirconium dioxide,Free,Free,
2825.70.00,00D,kg,Molybdenum oxides and hydroxides,Free,Free,
2825.80.00,00H,kg,Antimony oxides,Free,Free,
2825.90.00,10J,kg,Other,Free,Free,
,,,"V.-SALTS AND PEROXYSALTS, OF INORGANIC ACIDS AND",,,
,,,METALS,,,
28.26,,,"Fluorides; fluorosilicates, fluoroaluminates and other complex fluorine",,,
,,,salts:,,,
,,,Fluorides:,,,
2826.12.00,00K,kg,Of aluminium,Free,Free,
2826.19.00,,,Other,Free,Free,
,10J,kg,Of ammonium or of sodium,,,
,15K,kg,Other,,,
2826.30.00,00H,kg,Sodium hexafluoroaluminate (synthetic cryolite),Free,Free,
2826.90.00,,,Other,Free,Free,
,10G,kg,Fluorosilicates of sodium or of potassium,,,
,15H,kg,Other,,,
28.27,,,"Chlorides, chloride oxides and chloride hydroxides; bromides and",,,
,,,bromide oxides; iodides and iodide oxides:,,,
2827.10.00,00J,kg,Ammonium chloride,Free,Free,
2827.20.00,00B,kg,Calcium chloride,Free,Free,
,,,Other chlorides:,,,
2827.31.00,00L,kg,Of magnesium,Free,Free,
2827.32.00,00E,kg,Of aluminium,Free,Free,
2827.35.00,00J,kg,Of nickel,Free,Free,
2827.39.00,,,Other,Free,Free,
,10D,kg,Of iron,,,
,13J,kg,Of cobalt,,,
,15E,kg,Of zinc,,,
,21K,kg,Of tin,,,
,23F,kg,Of barium,,,
,27J,kg,Other,,,
,,,Chloride oxides and chloride hydroxides:,,,
2827.41.00,00D,kg,Of copper,Free,Free,
2827.49.00,10H,kg,Other,Free,Free,
,,,Bromides and bromide oxides:,,,
2827.51.00,00H,kg,Bromides of sodium or of potassium,Free,Free,
2827.59.00,00D,kg,Other,Free,Free,
2827.60.00,10D,kg,Iodides and iodide oxides,Free,Free,
28.28,,,Hypochlorites; commercial calcium hypochlorite; chlorites;,,,
,,,hypobromites:,,,
2828.10.00,00G,kg,Commercial calcium hypochlorite and other calcium hypochlorites,Free,Free,
2828.9,,,Other:,,,
2828.90.01,00B,l,Sodium hypochlorite,5,Free,
,,,,,*See Below,
,,,,,LDC 4,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
2828.90.09,00C,kg,Other hypochlorites; chlorites and hypobromites,Free,Free,
28.29,,,Chlorates and perchlorates; bromates and perbromates; iodates,,,
,,,and periodates:,,,
,,,Chlorates:,,,
2829.11.00,00K,kg,Of sodium,Free,Free,
2829.19.00,00F,kg,Other,Free,Free,
2829.90.00,00D,kg,Other,Free,Free,
28.3,,,"Sulphides; polysulphides, whether or not chemically defined:",,,
2830.10.00,00J,kg,Sodium sulphides,Free,Free,
2830.90.00,,,Other,Free,Free,
,10E,kg,Zinc sulphide,,,
,14H,kg,Cadmium sulphide,,,
,29F,kg,Other,,,
28.31,,,Dithionites and sulphoxylates:,,,
2831.10.00,00G,kg,Of sodium,Free,Free,
2831.90.00,00F,kg,Other,Free,Free,
28.32,,,Sulphites; thiosulphates:,,,
2832.10.00,00E,kg,Sodium sulphites,Free,Free,
2832.20.00,00J,kg,Other sulphites,Free,Free,
2832.30.00,00B,kg,Thiosulphates,Free,Free,
28.33,,,Sulphates; alums; peroxosulphates (persulphates):,,,
,,,Sodium sulphates:,,,
2833.11.00,00H,kg,Disodium sulphate,Free,Free,
2833.19.00,00D,kg,Other,Free,Free,
,,,Other sulphates:,,,
2833.21.00,00A,kg,Of magnesium,Free,Free,
,,,Sulphates; alums; peroxosulphates (persulphates)continued,,,
,,,Other sulphatescontinued,,,
2833.22.00,00F,kg,Of aluminium,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC Free,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
2833.24.00,00E,kg,Of nickel,Free,Free,
2833.25.00,00K,kg,Of copper,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC Free,
2833.27.00,00J,kg,Of barium,Free,Free,
2833.29.00,,,Other,Free,Free,
,10E,kg,Of chromium,,,
,15F,kg,Of zinc,,,
,25C,kg,Ferrous sulphate,,,
,29F,kg,Other,,,
2833.30.00,00L,kg,Alums,Free,Free,
2833.40.00,00D,kg,Peroxosulphates (persulphates),Free,Free,
28.34,,,Nitrites; nitrates:,,,
2834.10.00,00A,kg,Nitrites,Free,Free,
,,,Nitrates:,,,
2834.21.00,00K,kg,Of potassium,Free,Free,
2834.29.00,,,Other,Free,Free,
,10C,kg,Calcium Nitrate,,,
,15D,kg,Of bismuth,,,
,19G,kg,Other,,,
28.35,,,"Phosphinates (hypophosphites), phosphonates (phosphites) and",,,
,,,"phosphates; polyphosphates, whether or not chemically defined:",,,
2835.10.00,00K,kg,Phosphinates (hypophosphites) and phosphonates (phosphites),Free,Free,
,,,Phosphates:,,,
2835.22.00,,,Of mono- or disodium,Free,Free,
,01L,kg,Of mono-sodium,,,
,,,Of disodium:,,,
,11H,kg,Sodium phosphate dibasic; disodium dihydrogen pyrophosphate,,,
,19C,kg,Other,,,
2835.24.00,00A,kg,Of potassium,Free,Free,
2835.25.00,00F,kg,Calcium hydrogenorthophosphate (“dicalcium phosphate”),Free,Free,
2835.26.00,,,Other phosphates of calcium,Free,Free,
,01J,kg,Calcium biphosphate,,,
,09D,kg,Other,,,
2835.29.00,,,Other,Free,Free,
,10A,kg,Of trisodium,,,
,15B,kg,Of triammonium,,,
,19E,kg,Other,,,
,,,Polyphosphates:,,,
2835.31.00,00A,kg,Sodium triphosphate (sodium tripolyphosphate),Free,Free,
2835.39.00,11C,kg,Other,Free,Free,
28.36,,,Carbonates; peroxocarbonates (percarbonates); commercial,,,
,,,ammonium carbonate containing ammonium carbamate:,,,
2836.20.00,00A,kg,Disodium carbonate,Free,Free,
2836.30.00,00E,kg,Sodium hydrogencarbonate (sodium bicarbonate),Free,Free,
2836.40.00,00J,kg,Potassium carbonates,Free,Free,
2836.50.00,00B,kg,Calcium carbonate,Free,Free,
2836.60.00,00F,kg,Barium carbonate,Free,Free,
,,,Other:,,,
2836.91.00,00A,kg,Lithium carbonates,Free,Free,
2836.92.00,00F,kg,Strontium carbonate,Free,Free,
,,,"Carbonates; peroxocarbonates (percarbonates), etc.continued",,,
,,,Othercontinued,,,
2836.99.00,,,Other,Free,Free,
,10E,kg,Commercial ammonium carbonate and other ammonium carbonates,,,
,15F,kg,Lead carbonate,,,
,25C,kg,Bismuth carbonate,,,
,29F,kg,Other,,,
28.37,,,"Cyanides, cyanide oxides and complex cyanides:",,,
,,,Cyanides and cyanide oxides:,,,
2837.11.00,00L,kg,Of sodium,Free,Free,
2837.19.00,10D,kg,Other,Free,Free,
2837.20.00,10G,kg,Complex cyanides,Free,Free,
28.39,,,Silicates; commercial alkali metal silicates:,,,
,,,Of sodium:,,,
2839.11.00,00G,kg,Sodium metasilicates,Free,Free,
2839.19.00,00C,kg,Other,Free,Free,
2839.90.00,,,Other,Free,Free,
,10J,kg,Of potassium,,,
,19B,kg,Other,,,
28.4,,,Borates; peroxoborates (perborates):,,,
,,,Disodium tetraborate (refined borax):,,,
2840.11.00,00L,kg,Anhydrous,Free,Free,
2840.19.00,00G,kg,Other,Free,Free,
2840.20.00,,,Other borates,Free,Free,
,01H,kg,Of sodium,,,
,09C,kg,Other,,,
2840.30.00,00C,kg,Peroxoborates (perborates),Free,Free,
28.41,,,Salts of oxometallic or peroxometallic acids:,,,
2841.30.00,00A,kg,Sodium dichromate,Free,Free,
2841.50.00,,,Other chromates and dichromates; peroxochromates,Free,Free,
,11D,kg,Potassium dichromate,,,
,15G,kg,Chromates of zinc or lead,,,
,23H,kg,Other,,,
,,,"Manganites, manganates and permanganates:",,,
2841.61.00,00G,kg,Potassium permanganate,Free,Free,
2841.69.00,00C,kg,Other,Free,Free,
2841.70.00,00F,kg,Molybdates,Free,Free,
2841.80.00,00K,kg,Tungstates (wolframates),Free,Free,
2841.90.00,,,Other,Free,Free,
,10L,kg,Aluminates,,,
,19D,kg,Other,,,
28.42,,,Other salts of inorganic acids or peroxoacids (including,,,
,,,"aluminosilicates whether or not chemically defined), other than azides:",,,
2842.10.00,11H,kg,"Double or complex silicates, including aluminosilicates whether or not",,,
,,,chemically defined,Free,Free,
2842.90.00,,,Other,Free,Free,
,01K,kg,Arsenites and arsenates,,,
,10J,kg,"Fulminates, cyanates and thiocyanates",,,
,19B,kg,Other,,,
,,,VI.-MISCELLANEOUS,,,
28.43,,,Colloidal precious metals; inorganic or organic compounds of,,,
,,,"precious metals, whether or not chemically defined; amalgams of",,,
,,,precious metals:,,,
2843.10.00,00L,.,Colloidal precious metals,Free,Free,
,,,Silver compounds:,,,
2843.21.00,00J,g,Silver nitrate,5,Free,
,,,,,*See Below,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
,,,"Colloidal precious metals; inorganic or organic, etc.continued",,,
,,,Silver compoundscontinued,,,
2843.29.00,,,Other,Free,Free,
,01C,.,Silver cyanide,,,
,09J,.,Other,,,
2843.30.00,00H,.,Gold compounds,Free,Free,
2843.90.00,10G,.,Other compounds; amalgams,Free,Free,
28.44,,,Radioactive chemical elements and radioactive isotopes (including the,,,
,,,fissile or fertile chemical elements and isotopes) and their compounds;,,,
,,,mixtures and residues containing these products:,,,
2844.10.00,00J,.,"Natural uranium and its compounds; alloys, dispersions (including",,,
,,,"cermets), ceramic products and mixtures containing natural uranium or",,,
,,,natural uranium compounds,Free,Free,
2844.20.00,00B,.,Uranium enriched in U 235 and its compounds; plutonium and its,,,
,,,"compounds; alloys, dispersions (including cermets), ceramic products",,,
,,,"and mixtures containing uranium enriched in U 235, plutonium or",,,
