NCM,DESCRICAO,ALIçQUOTA(%),,,,
0303.68.00,"Verdinhos (Micromesistius poutassou, Micromesistius australis)",0,,,,
303.69,Outros,,,,,
0303.69.10,Merluza rosada (Macruronus magellanicus),0,,,,
0303.69.90,Outros,0,,,,
303.8,"- Outros peixes, exceto subprodutos comest≠veis de peixes das subposiµes 0303.91 a0303.99:",,,,,
303.81,Cao e outros tubarµes,,,,,
0303.81.1,Tubaro-azul (Prionace glauca),,,,,
0303.81.11,Inteiro,0,,,,
0303.81.12,"Eviscerado, sem cabea e sem barbatanas",0,,,,
0303.81.13,"Em pedaos, com pele",0,,,,
0303.81.14,"Em pedaos, sem pele",0,,,,
0303.81.19,Outros,0,,,,
0303.81.90,Outros,0,,,,
0303.82.00,Raias (Rajidae),0,,,,
303.83,Merluza negra e merluza ant°rtica (Marlongas*) (Dissostichus spp.),,,,,
0303.83.1,Merluza negra (Dissostichus eleginoides),,,,,
0303.83.11,"Evisceradas, sem cabea e sem cauda",0,,,,
0303.83.19,Outras,0,,,,
0303.83.2,Merluza ant°rtica (Dissostichus mawsoni),,,,,
0303.83.21,"Evisceradas, sem cabea e sem cauda",0,,,,
0303.83.29,Outras,0,,,,
0303.84.00,Robalos (Dicentrarchus spp.),0,,,,
303.89,Outros,,,,,
0303.89.10,Corvina (Micropogonias furnieri),0,,,,
0303.89.20,Pescadas (Cynoscion spp.),0,,,,
0303.89.3,Pargo (Lutjanus purpureus) e peixe-sapo (Lophius gastrophysus),,,,,
0303.89.32,Pargo (Lutjanus purpureus),0,,,,
0303.89.33,Peixe-sapo (Lophius gastrophysus),0,,,,
0303.89.4,"Cherne-poveiro (Polyprion americanus), garoupas (Acanthistius spp.), tainhas (Mugilspp.),esturjµes(Acipenserbaerii,Acipensergueldenstaedtii,Acipenserpersicus,Acipenser stellatus), peixes-rei (Atherina spp.) e nototenias (Patagonotothen spp.)",,,,,
0303.89.41,Cherne-poveiro (Polyprion americanus),0,,,,
0303.89.42,Garoupas (Acanthistius spp.),0,,,,
0303.89.43,Tainhas (Mugil spp.),0,,,,
0303.89.44,"Esturjµes (Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenserstellatus)",0,,,,
0303.89.45,Peixes-rei (Atherina spp.),0,,,,
0303.89.46,Nototenias (Patagonotothen spp.),0,,,,
0303.89.5,"Curimats (Prochilodus spp.), til°pias (Tilapia spp., Sarotherodon spp., Danakilia spp.;seus h≠bridos), surubins (Pseudoplatystoma spp.), tra≠ra (Hoplias malabaricus & H. cf.lacerdae), piaus (Leporinus spp.) e pirarucu (Arapaima gigas)",,,,,
0303.89.51,Curimats (Prochilodus spp.),0,,,,
0303.89.52,"Til°pias (Tilapia spp., Sarotherodon spp., Danakilia spp.; seus h≠bridos)",0,,,,
0303.89.53,Surubins (Pseudoplatystoma spp.),0,,,,
0303.89.54,Tra≠ra (Hoplias malabaricus & H. cf. lacerdae),0,,,,
0303.89.55,Piaus (Leporinus spp.),0,,,,
0303.89.56,Pirarucu (Arapaima gigas),0,,,,
0303.89.6,"Piramutaba (Brachyplatystoma vaillantii), dourada (Brachyplatystoma flavicans), pacu(Piaractus mesopotamicus), tambaqui (Colossoma macropomum) e tambacu (h≠bridode tambaqui e pacu)",,,,,
0303.89.61,Piramutaba (Brachyplatystoma vaillantii),0,,,,
0303.89.62,Dourada (Brachyplatystoma flavicans),0,,,,
0303.89.63,Pacu (Piaractus mesopotamicus),0,,,,
0303.89.64,Tambaqui (Colossoma macropomum),0,,,,
0303.89.65,Tambacu (h≠brido de tambaqui e pacu),0,,,,
0303.89.90,Outros,0,,,,
303.9,"- F≠gados, ovas, g¥nadas masculinas, barbatanas, cabeas, caudas, bexigas-natat≥rias eoutros subprodutos comest≠veis de peixes:",,,,,
303.91,"F≠gados, ovas e g¥nadas masculinas",,,,,
0303.91.10,Ovas de tainhas (Mugil spp.),0,,,,
0303.91.90,Outros,0,,,,
0303.92.00,Barbatanas de tubaro,0,,,,
303.99,Outros,,,,,
0303.99.10,Cabeas de Merluza negra (Dissostichus eleginoides),0,,,,
0303.99.20,Cabeas de Merluza ant°rtica (Dissostichus mawsoni),0,,,,
0303.99.90,Outros,0,,,,
3.04,"Fils (filetes) de peixes e outra carne de peixes (mesmo picada), frescos, refrigeradosou congelados.",,,,,
304.3,"- Fils (filetes) de til°pias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp.,Silurusspp.,Clariasspp.,Ictalurusspp.),carpas(Cyprinusspp.,Carassiusspp.,Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodonpiceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobramaspp.), enguias (Anguilla spp.), perca-do-nilo (Lates niloticus) e peixes cabea-de-serpente(Channa spp.), frescos ou refrigerados:",,,,,
0304.31.00,Til°pias (Oreochromis spp.),0,,,,
304.32,"Bagres (Peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",,,,,
0304.32.10,Bagre americano (Ictalurus punctatus),0,,,,
0304.32.90,Outros,0,,,,
0304.33.00,Perca-do-nilo (Lates niloticus),0,,,,
0304.39.00,Outros,0,,,,
304.4,"- Fils (filetes) de outros peixes, frescos ou refrigerados:",,,,,
0304.41.00,"Salmµes-do-pac≠fico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchusketa,Oncorhynchustschawytscha,Oncorhynchuskisutch,OncorhynchusmasoueOncorhynchusrhodurus),salmo-do-atl¢ntico(Salmosalar)esalmo-do-danbio(Hucho hucho)",0,,,,
0304.42.00,"Trutas(Salmotrutta,Oncorhynchusmykiss,Oncorhynchusclarki,Oncorhynchusaguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster)",0,,,,
0304.43.00,"Peixes chatos (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae eCitharidae)",0,,,,
0304.44.00,"Peixesdasfam≠liasBregmacerotidae,Euclichthyidae,Gadidae,Macrouridae,Melanonidae, Merlucciidae, Moridae e Muraenolepididae",0,,,,
0304.45.00,Espadarte (Xiphias gladius),0,,,,
0304.46.00,Merluza negra e merluza ant°rtica (Marlongas*) (Dissostichus spp.),0,,,,
0304.47.00,Cao e outros tubarµes,0,,,,
0304.48.00,Raias (Rajidae),0,,,,
304.49,Outros,,,,,
0304.49.10,Cherne-poveiro (Polyprion americanus),0,,,,
0304.49.20,Garoupas (Acanthistius spp.),0,,,,
0304.49.90,Outros,0,,,,
304.5,"- Outros, frescos ou refrigerados:",,,,,
0304.51.00,"Til°pias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp., Silurus spp., Clariasspp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus,Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeospp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), enguias (Anguillaspp.), perca-do-nilo (Lates niloticus) e peixes cabea-de-serpente (Channa spp.)",0,,,,
0304.52.00,Salmon≠deos,0,,,,
0304.53.00,"Peixesdasfam≠liasBregmacerotidae,Euclichthyidae,Gadidae,Macrouridae,Melanonidae, Merlucciidae, Moridae e Muraenolepididae",0,,,,
0304.54.00,Espadarte (Xiphias gladius),0,,,,
0304.55.00,Merluza negra e merluza ant°rtica (Marlongas*) (Dissostichus spp.),0,,,,
0304.56.00,Cao e outros tubarµes,0,,,,
0304.57.00,Raias (Rajidae),0,,,,
0304.59.00,Outros,0,,,,
304.6,"- Fils (filetes) de til°pias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp.,Silurusspp.,Clariasspp.,Ictalurusspp.),carpas(Cyprinusspp.,Carassiusspp.,Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodonpiceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobramaspp.), enguias (Anguilla spp.), perca-do-nilo (Lates niloticus) e peixes cabea-de-serpente(Channa spp.), congelados:",,,,,
0304.61.00,Til°pias (Oreochromis spp.),0,,,,
304.62,"Bagres (Peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",,,,,
0304.62.10,Bagre americano (Ictalurus punctatus),0,,,,
0304.62.90,Outros,0,,,,
0304.63.00,Perca-do-nilo (Lates niloticus),0,,,,
0304.69.00,Outros,0,,,,
304.7,"- Fils(filetes)depeixesdasfam≠liasBregmacerotidae,Euclichthyidae,Gadidae,Macrouridae, Melanonidae, Merlucciidae, Moridae e Muraenolepididae, congelados:",,,,,
0304.71.00,"Bacalhau-do-atl¢ntico(Gadusmorhua),bacalhau-da-groel¢ndia(Gadusogac)ebacalhau-do-pac≠fico (Gadus macrocephalus)",0,,,,
0304.72.00,Hadoque (Arinca*) (Melanogrammus aeglefinus),0,,,,
0304.73.00,Saithe (Escamudo*) (Pollachius virens),0,,,,
0304.74.00,"Merluzas (Pescadas*) e abr≥teas (Merluccius spp., Urophycis spp.)",0,,,,
0304.75.00,Polaca-do-alasca (Escamudo-do-alasca*) (Theragra chalcogramma),0,,,,
0304.79.00,Outros,0,,,,
304.8,"- Fils (filetes) de outros peixes, congelados:",,,,,
0304.81.00,"Salmµes-do-pac≠fico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchusketa,Oncorhynchustschawytscha,Oncorhynchuskisutch,OncorhynchusmasoueOncorhynchusrhodurus),salmo-do-atl¢ntico(Salmosalar)esalmo-do-danbio(Hucho hucho)",0,,,,
0304.82.00,"Trutas(Salmotrutta,Oncorhynchusmykiss,Oncorhynchusclarki,Oncorhynchusaguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster)",0,,,,
0304.83.00,"Peixes chatos (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae eCitharidae)",0,,,,
0304.84.00,Espadarte (Xiphias gladius),0,,,,
304.85,Merluza negra e merluza ant°rtica (Marlongas*) (Dissostichus spp.),,,,,
0304.85.10,Merluza negra (Dissostichus eleginoides),0,,,,
0304.85.20,Merluza ant°rtica (Dissostichus mawsoni),0,,,,
0304.86.00,"Arenques (Clupea harengus, Clupea pallasii)",0,,,,
0304.87.00,"Atuns (do g™nero Thunnus), bonito-listrado (gaiado*) (Katsuwonus pelamis)",0,,,,
304.88,"Cao e outros tubarµes, raias (Rajidae)",,,,,
0304.88.10,Tubaro-azul (Prionace glauca),0,,,,
0304.88.90,Outros,0,,,,
304.89,Outros,,,,,
0304.89.10,Pargo (Lutjanus purpureus),0,,,,
0304.89.20,Cherne-poveiro (Polyprion americanus),0,,,,
0304.89.30,Garoupas (Acanthistius spp.),0,,,,
0304.89.90,Outros,0,,,,
304.9,"- Outros, congelados:",,,,,
0304.91.00,Espadarte (Xiphias gladius),0,,,,
304.92,Merluza negra e merluza ant°rtica (Marlongas*) (Dissostichus spp.),,,,,
0304.92.1,Merluza negra (Dissostichus eleginoides),,,,,
0304.92.11,Bochechas (cheeks),0,,,,
0304.92.12,Colares (collars),0,,,,
0304.92.19,Outros,0,,,,
0304.92.2,Merluza ant°rtica (Dissostichus mawsoni),,,,,
0304.92.21,Bochechas (cheeks),0,,,,
0304.92.22,Colares (collars),0,,,,
0304.92.29,Outros,0,,,,
0304.93.00,"Til°pias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp., Silurus spp., Clariasspp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus,Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeospp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), enguias (Anguillaspp.), perca-do-nilo (Lates niloticus) e peixes cabea-de-serpente (Channa spp.)",0,,,,
0304.94.00,Polaca-do-alasca (Escamudo-do-alasca*) (Theragra chalcogramma),0,,,,
0304.95.00,"Peixesdasfam≠liasBregmacerotidae,Euclichthyidae,Gadidae,Macrouridae,Melanonidae, Merlucciidae, Moridae e Muraenolepididae, exceto a polaca-do-alasca(escamudo-do-alasca*) (Theragra chalcogramma)",0,,,,
0304.96.00,Cao e outros tubarµes,0,,,,
0304.97.00,Raias (Rajidae),0,,,,
0304.99.00,Outros,0,,,,
3.05,"Peixessecos,salgados ouemsalmoura;peixesdefumados(fumados),mesmocozidos antes ou durante a defumao.",,,,,
305.2,"- F≠gados, ovas e g¥nadas masculinas, de peixes, secos, defumados (fumados), salgadosou em salmoura",,,,,
0305.20.10,Ovas de tainhas (Mugil spp.),0,,,,
0305.20.90,Outros,0,,,,
305.3,"- Fils (filetes) de peixes, secos, salgados ou em salmoura, mas no defumados (fumados):",,,,,
0305.31.00,"Til°pias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp., Silurus spp., Clariasspp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus,Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeospp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), enguias (Anguillaspp.), perca-do-nilo (Lates niloticus) e peixes cabea-de-serpente (Channa spp.)",0,,,,
305.32,"Peixesdasfam≠liasBregmacerotidae,Euclichthyidae,Gadidae,Macrouridae,Melanonidae, Merlucciidae, Moridae e Muraenolepididae",,,,,
0305.32.10,"Bacalhau-do-atl¢ntico(Gadusmorhua),bacalhau-da-groel¢ndia(Gadusogac)ebacalhau-do-pac≠fico (Gadus macrocephalus)",0,,,,
0305.32.20,Saithe (Pollachius virens),0,,,,
0305.32.30,Ling (Molva molva) e zarbo (Brosme brosme),0,,,,
0305.32.90,Outros,0,,,,
0305.39.00,Outros,0,,,,
305.4,"- Peixes defumados (fumados), mesmo em fils (filetes), exceto subprodutos comest≠veisde peixes:",,,,,
0305.41.00,"Salmµes-do-pac≠fico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchusketa,Oncorhynchustschawytscha,Oncorhynchuskisutch,OncorhynchusmasoueOncorhynchusrhodurus),salmo-do-atl¢ntico(Salmosalar)esalmo-do-danbio(Hucho hucho)","3,25",,,,
0305.42.00,"Arenques (Clupea harengus, Clupea pallasii)","3,25",,,,
0305.43.00,"Trutas(Salmotrutta,Oncorhynchusmykiss,Oncorhynchusclarki,Oncorhynchusaguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster)",0,,,,
0305.44.00,"Til°pias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp., Silurus spp., Clariasspp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus,Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeospp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), enguias (Anguillaspp.), perca-do-nilo (Lates niloticus) e peixes cabea-de-serpente (Channa spp.)",0,,,,
305.49,Outros,,,,,
0305.49.10,"Bacalhau-do-atl¢ntico(Gadusmorhua),bacalhau-da-groel¢ndia(Gadusogac)ebacalhau-do-pac≠fico (Gadus macrocephalus)","3,25",,,,
0305.49.20,"Saithe (Pollachius virens), ling (Molva molva) e zarbo (Brosme brosme)",0,,,,
0305.49.90,Outros,0,,,,
305.5,"- Peixes secos, exceto subprodutos comest≠veis de peixes, mesmo salgados, mas nodefumados (fumados):",,,,,
0305.51.00,"Bacalhau-do-atl¢ntico(Gadusmorhua),bacalhau-da-groel¢ndia(Gadusogac)ebacalhau-do-pac≠fico (Gadus macrocephalus)","3,25",,,,
0305.52.00,"Til°pias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp., Silurus spp., Clariasspp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus,Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeospp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), enguias (Anguillaspp.), perca-do-nilo (Lates niloticus) e peixes cabea-de-serpente (Channa spp.)","3,25",,,,
305.53,"Peixesdasfam≠liasBregmacerotidae,Euclichthyidae,Gadidae,Macrouridae,Melanonidae,Merlucciidae,MoridaeeMuraenolepididae,excetobacalhau(Gadusmorhua, Gadus ogac, Gadus macrocephalus)",,,,,
0305.53.10,"Bacalhau polar (Boreogadus saida), saithe (Pollachius virens), ling (Molva molva), lingazul(Molvadypterygia),zarbo(Brosmebrosme),abrotea-do-alto(Urophycisblennoides) e hadoque (Melanogrammus aeglefinus)","3,25",,,,
0305.53.90,Outros,"3,25",,,,
0305.54.00,"Arenques (Clupea harengus, Clupea pallasii), anchovas (biqueirµes*) (Engraulis spp.),sardinhas(Sardinapilchardus,Sardinopsspp.,Sardinellaspp.)(sardinha(Sardinapilchardus) e sardinelas (Sardinops spp., Sardinella spp.)*), anchoveta (espadilha*)(Sprattussprattus),cavalinhas(sardasecavalas*)(Scomberscombrus,Scomberaustralasicus,Scomberjaponicus),cavalas-do-≠ndico(Rastrelligerspp.),serras(Scomberomorusspp.),carapaus(Trachurusspp.),xarus(Caranxspp.),bijupir°(cobia*) (Rachycentron canadum), pampos-prateado (Pampus spp.), agulho-do-japo(Cololabissaira),charros(Decapterusspp.),capelim(Mallotusvillosus),espadarte(Xiphias gladius), merma-oriental (Euthynnus affinis), bonitos (Sarda spp.), espadins,marlins, veleiros (Istiophoridae)","3,25",,,,
0305.59.00,Outros,"3,25",,,,
305.6,"- Peixes salgados, no secos nem defumados (fumados) e peixes em salmoura, excetosubprodutos comest≠veis de peixes:",,,,,
0305.61.00,"Arenques (Clupea harengus, Clupea pallasii)","3,25",,,,
0305.62.00,"Bacalhau-do-atl¢ntico(Gadusmorhua),bacalhau-da-groel¢ndia(Gadusogac)ebacalhau-do-pac≠fico (Gadus macrocephalus)","3,25",,,,
0305.63.00,Anchovas (Biqueirµes*) (Engraulis spp.),0,,,,
0305.64.00,"Til°pias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp., Silurus spp., Clariasspp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus,Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeospp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), enguias (Anguillaspp.), perca-do-nilo (Lates niloticus) e peixes cabea-de-serpente (Channa spp.)",0,,,,
305.69,Outros,,,,,
0305.69.10,"Saithe (Pollachius virens), ling (Molva molva) e zarbo (Brosme brosme)",0,,,,
0305.69.90,Outros,0,,,,
305.7,"- Barbatanas, cabeas, caudas, bexigas-natat≥rias e outros subprodutos comest≠veis depeixes:",,,,,
0305.71.00,Barbatanas de tubaro,0,,,,
,"Ex 01 - De tubaro seco, mesmo salgado mas no defumado","3,25",,,,
0305.72.00,"cabeas, caudas e bexigas-natat≥rias, de Peixes","3,25",,,,
,"Ex01-Depeixesdefumados,mesmoemfils,excetodosc≥digos0305.41.00,0305.42.00 e 0305.49.10",0,,,,
,"Ex 02 - De peixes salgados, no secos nem defumados e peixes em salmoura, excetodos c≥digos 0305.61.00 e 0305.62.00",0,,,,
0305.79.00,Outros,"3,25",,,,
,"Ex01-Depeixesdefumados,mesmoemfils,excetodosc≥digos0305.41.00,0305.42.00 e 0305.49.10",0,,,,
,"Ex 02 - De peixes salgados, no secos nem defumados e peixes em salmoura, excetodos c≥digos 0305.61.00 e 0305.62.00",0,,,,
3.06,"Crust°ceos, mesmo com casca, vivos, frescos, refrigerados, congelados, secos,salgados ou em salmoura; crust°ceos, mesmo com casca, defumados (fumados),mesmo cozidos antes ou durante a defumao; crust°ceos com casca, cozidos em°gua ou vapor, mesmo refrigerados, congelados, secos, salgados ou em salmoura.",,,,,
306.1,- Congelados:,,,,,
306.11,"Lagostas (Palinurus spp., Panulirus spp., Jasus spp.)",,,,,
0306.11.10,Inteiras,0,,,,
0306.11.90,Outras,0,,,,
0306.12.00,Lavagantes (Homarus spp.),0,,,,
0306.14.00,Caranguejos,0,,,,
0306.15.00,Lagosta norueguesa (Lagostim*) (Nephrops norvegicus),0,,,,
306.16,"Camarµes de °gua fria (Pandalus spp., Crangon Crangon)",,,,,
0306.16.10,Inteiros,0,,,,
0306.16.90,Outros,0,,,,
306.17,Outros Camarµes,,,,,
0306.17.10,Inteiros,0,,,,
0306.17.90,Outros,0,,,,
306.19,Outros,,,,,
0306.19.10,Krill (Euphausia superba),0,,,,
0306.19.90,Outros,0,,,,
306.3,"- Vivos, frescos ou refrigerados:",,,,,
0306.31.00,"Lagostas (Palinurus spp., Panulirus spp., Jasus spp.)",0,,,,
0306.32.00,Lavagantes (Homarus spp.),0,,,,
0306.33.00,Caranguejos,0,,,,
0306.34.00,Lagosta norueguesa (Lagostim*) (Nephrops norvegicus),0,,,,
0306.35.00,"Camarµes de °gua fria (Pandalus spp., Crangon Crangon)",0,,,,
0306.36.00,Outros Camarµes,0,,,,
306.39,Outros,,,,,
0306.39.10,Lagosta de °gua doce (Cherax quadricarinatus),0,,,,
0306.39.90,Outros,0,,,,
306.9,- Outros:,,,,,
0306.91.00,"Lagostas (Palinurus spp., Panulirus spp., Jasus spp.)",0,,,,
0306.92.00,Lavagantes (Homarus spp.),0,,,,
0306.93.00,Caranguejos,0,,,,
0306.94.00,Lagosta norueguesa (Lagostim*) (Nephrops norvegicus),0,,,,
0306.95.00,Camarµes,0,,,,
306.99,Outros,,,,,
0306.99.10,Lagosta de °gua doce (Cherax quadricarinatus),0,,,,
0306.99.90,Outros,0,,,,
3.07,"Moluscos, mesmo com concha, vivos, frescos,refrigerados, congelados, secos,salgados ou em salmoura; moluscos, mesmo com concha, defumados (fumados),mesmo cozidos antes ou durante a defumao.",,,,,
307.1,- Ostras:,,,,,
0307.11.00,"Vivas, Frescas ou refrigeradas",0,,,,
0307.12.00,Congeladas,0,,,,
0307.19.00,Outras,0,,,,
307.2,- Vieiras e outros moluscos da fam≠lia Pectinidae:,,,,,
0307.21.00,"vivos, frescos ou refrigerados",0,,,,
0307.22.00,congelados,0,,,,
0307.29.00,Outros,0,,,,
307.3,"- Mexilhµes (Mytilus spp., Perna spp.):",,,,,
0307.31.00,"vivos, frescos ou refrigerados",0,,,,
0307.32.00,congelados,0,,,,
0307.39.00,Outros,0,,,,
307.4,- Spias (Chocos*) (Chocos e chopos*); lulas (potas e lulas*):,,,,,
0307.42.00,"Vivas, Frescas ou refrigeradas",0,,,,
307.43,Congeladas,,,,,
0307.43.10,Lulas,0,,,,
0307.43.20,Spias,0,,,,
0307.49.00,Outras,0,,,,
307.5,- Polvos (Octopus spp.):,,,,,
0307.51.00,"vivos, frescos ou refrigerados",0,,,,
0307.52.00,congelados,0,,,,
0307.59.00,Outros,0,,,,
0307.60.00," Carac≥is, exceto os do mar",0,,,,
307.7,"- Am™ijoas,berbigµesearcas(fam≠liasArcidae,Arcticidae,Cardiidae,Donacidae,Hiatellidae, Mactridae, Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae,Tridacnidae e Veneridae):",,,,,
0307.71.00,"vivos, frescos ou refrigerados",0,,,,
0307.72.00,congelados,0,,,,
0307.79.00,Outros,0,,,,
307.8,- Abalones (Orelhas-do-mar*) (Haliotis spp.) e estrombos (Strombus spp.):,,,,,
0307.81.00,"Abalones (Orelhas-do-mar*) (Haliotis spp.) vivos, frescos ou refrigerados",0,,,,
0307.82.00,"Estrombos (Strombus spp.) vivos, frescos ou refrigerados",0,,,,
0307.83.00,Abalones (Orelhas-do-mar*) (Haliotis spp.) congelados,0,,,,
0307.84.00,Estrombos (Strombus spp.) congelados,0,,,,
0307.87.00,Outros abalones (orelhas-do-mar*) (Haliotis spp.),0,,,,
0307.88.00,Outros Estrombos (Strombus spp.),0,,,,
307.9,- Outros:,,,,,
0307.91.00,"vivos, frescos ou refrigerados",0,,,,
0307.92.00,congelados,0,,,,
0307.99.00,Outros,0,,,,
3.08,"Invertebrados aqu°ticos, exceto crust°ceos e moluscos, vivos, frescos, refrigerados,congelados,secos,salgadosouemsalmoura;invertebradosaqu°ticos,excetocrust°ceos e moluscos, defumados (fumados), mesmo cozidos antes ou durante adefumao.",,,,,
308.1,"- Pepinos-do-mar (Stichopus japonicus, Holothuroidea):",,,,,
0308.11.00,"vivos, frescos ou refrigerados",0,,,,
0308.12.00,congelados,0,,,,
0308.19.00,Outros,0,,,,
