Number,Code,Unit,Goods,Normal Tariff,Preferential Tarrif,
,15D,KTC,Cigarette,,,
,19G,KTC,Other,,,
,,,Other:,,,
2403.91,,,ÄúHomogenisedÄù or ÄúreconstitutedÄù tobacco:,,,
2403.91.10,00E,KTC,For further manufacture in a licensed manufacturing area 5,,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
2403.91.90,,,Other per KTC 5,,Free,
,,,"plus $1,812.611",,*See Below,
,,,,,"plus $1,812.611",
,,,,,CA Free,
,,,,,"plus $1,812.611",
,,,,,LDC 4,
,,,,,"plus $1,812.611",
,01G,KTC,Pipe,,,
,05K,KTC,Cigarette,,,
,10F,KTC,Other,,,
2403.99,,,Other:,,,
2403.99.02,00J,KTC,"Snuff per KTC $1,589.961",,.,
2403.99.09,00C,kg,Tobacco extracts and essences Free,,Free,
2403.99.11,10E,kg,"Smoking mixtures, of tobacco substitutes Free",,Free,
,,,"Other manufactured tobacco and manufactured, etc.continued",,,
,,,Othercontinued,,,
,,,Othercontinued,,,
2403.99.90,,,Other per KTC 5,,Free,
,,,"plus $1,589.961",,*See Below,
,,,,,"plus $1,589.961",
,,,,,CA Free,
,,,,,"plus $1,589.961",
,,,,,LDC 4,
,,,,,"plus $1,589.961",
,,,,,RCEP 5,
,,,,,1/2025 5,
,,,,,"plus $1,589.961",
,01C,KTC,Pulverised waste tobacco in liquid form,,,
,05F,KTC,Binders and wrappers of tobacco for use in the manufacture of,,,
,,,cigars and cheroots,,,
,10B,KTC,Other,,,
24.04,,,"Products containing tobacco, reconstituted tobacco, nicotine, or",,,
,,,"tobacco or nicotine substitutes, intended for inhalation without",,,
,,,combustion; other nicotine containing products intended for the,,,
,,,intake of nicotine into the human body,,,
,,, Products intended for inhalation without combustion:,,,
2404.11,,,Containing tobacco or reconstituted tobacco:,,,
,,,Products for use with tobacco heating systems:,,,
2404.11.02,00A,KTC,Containing reconstituted tobacco per KTC 5,,Free,
,,,plus $906.301,,*See Below,
,,,,,plus $906.301,
,,,,,CA Free,
,,,,,plus $906.301,
,,,,,LDC 4,
,,,,,plus $906.301,
2404.11.06,00G,KTC,Other per KTC 5,,Free,
,,,plus $794.971,,*See Below,
,,,,,plus $794.971,
,,,,,CA Free,
,,,,,plus $794.971,
,,,,,LDC 4,
,,,,,plus $794.971,
,,,,,RCEP 5,
,,,,,1/2025 5,
,,,,,plus $794.971,
,,,Other:,,,
2404.11.11,00L,KTC,Containing reconstituted tobacco per KTC 5,,Free,
,,,"plus $1,812.611",,*See Below,
,,,,,"plus $1,812.611",
,,,,,CA Free,
,,,,,"plus $1,812.611",
,,,,,LDC 4,
,,,,,"plus $1,812.611",
2404.11.15,00F,KTC,Other 5,,Free,
,,,"plus $1,589.961",,*See Below,
,,,,,"plus $1,589.961",
,,,,,CA Free,
,,,,,"plus $1,589.961",
,,,,,LDC 4,
,,,,,"plus $1,589.961",
,,,,,RCEP 5,
,,,,,1/2025 5,
,,,,,"plus $1,589.961",
2404.12.00,,,"Other, containing nicotine Free",,Free,
,01A,No.,Disposable electric cigarettes and similar disposable electric,,,
,,,vaporising devices,,,
,05D,l,Prefilled cartridge for use with electric vaporising device,,,
,11J,l,Liquid solution,,,
,19D,kg,Other,,,
,,,"Products containing tobacco, reconstituted tobacco, etc.continued",,,
,,,Products intended for inhalation without combustioncontinued,,,
2404.19,,,Other:,,,
2404.19.01,,,Of tobacco substitutes,Free,Free,
,01K,No.,.Disposable electric cigarettes and similar disposable electric,,,
,,,vaporising devices,,,
,05B,l,Prefilled cartridge for use with electric vaporising device,,,
,11G,l,Liquid solution,,,
,19B,kg,Other,,,
2404.19.05,,,Other,Free,Free,
,01E,No.,Disposable electric cigarettes and similar disposable electric,,,
,,,vaporising devices,,,
,05H,l,Prefilled cartridge for use with electric vaporising device,,,
,11B,l,Liquid solution,,,
,19H,kg,Other,,,
,,, Other:,,,
2404.91.00,00H,.,For oral application,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
2404.92.00,00B,.,For transdermal application,Free,Free,
2404.99.00,00D,.,Other,Free,Free,
